Date,Open,High,Low,Close,Volume
2026-02-21 08:30:00+00:00,67944.0,67975.0,67902.0,67969.0,68.57956
2026-02-21 08:45:00+00:00,67970.0,68029.0,67928.0,68009.0,377.30033
2026-02-21 09:00:00+00:00,68010.0,68031.0,67938.0,67960.0,128.27733
2026-02-21 09:15:00+00:00,67959.0,68242.0,67959.0,68198.0,351.59533
2026-02-21 09:30:00+00:00,68198.0,68264.0,68102.0,68151.0,180.31591
2026-02-21 09:45:00+00:00,68151.0,68188.0,68101.0,68113.0,21.34289
2026-02-21 10:00:00+00:00,68111.0,68205.0,68111.0,68145.0,62.37639
2026-02-21 10:15:00+00:00,68145.0,68170.0,68106.0,68152.0,64.67846
2026-02-21 10:30:00+00:00,68153.0,68195.0,68143.0,68180.0,73.11886
2026-02-21 10:45:00+00:00,68180.0,68196.0,68124.0,68172.0,27.1133
2026-02-21 11:00:00+00:00,68172.0,68235.0,68163.0,68213.0,78.95207
2026-02-21 11:15:00+00:00,68213.0,68244.0,68147.0,68153.0,178.41147
2026-02-21 11:30:00+00:00,68152.0,68161.0,68009.0,68065.0,285.16365
2026-02-21 11:45:00+00:00,68064.0,68085.0,68042.0,68055.0,187.48108
2026-02-21 12:00:00+00:00,68055.0,68096.0,67926.0,67956.0,89.17672
2026-02-21 12:15:00+00:00,67957.0,67980.0,67922.0,67934.0,53.37
2026-02-21 12:30:00+00:00,67934.0,67998.0,67877.0,67994.0,349.93974
2026-02-21 12:45:00+00:00,67994.0,68179.0,67994.0,68169.0,67.74236
2026-02-21 13:00:00+00:00,68168.0,68169.0,68092.0,68116.0,57.76639
2026-02-21 13:15:00+00:00,68116.0,68219.0,68063.0,68198.0,53.4742
2026-02-21 13:30:00+00:00,68197.0,68209.0,68133.0,68134.0,52.81165
2026-02-21 13:45:00+00:00,68134.0,68226.0,68131.0,68224.0,25.01971
2026-02-21 14:00:00+00:00,68223.0,68230.0,68148.0,68230.0,37.04762
2026-02-21 14:15:00+00:00,68230.0,68588.0,68183.0,68399.0,720.00928
2026-02-21 14:30:00+00:00,68399.0,68593.0,68377.0,68501.0,281.2572
2026-02-21 14:45:00+00:00,68502.0,68547.0,68396.0,68409.0,112.24753
2026-02-21 15:00:00+00:00,68410.0,68483.0,68384.0,68459.0,106.80306
2026-02-21 15:15:00+00:00,68459.0,68535.0,68418.0,68418.0,75.80599
2026-02-21 15:30:00+00:00,68418.0,68650.0,68381.0,68596.0,163.58039
2026-02-21 15:45:00+00:00,68594.0,68661.0,68550.0,68578.0,134.30519
2026-02-21 16:00:00+00:00,68577.0,68598.0,68256.0,68314.0,724.76531
2026-02-21 16:15:00+00:00,68315.0,68315.0,68050.0,68235.0,746.26292
2026-02-21 16:30:00+00:00,68234.0,68318.0,68099.0,68318.0,118.48535
2026-02-21 16:45:00+00:00,68317.0,68319.0,68271.0,68286.0,65.34622
2026-02-21 17:00:00+00:00,68287.0,68310.0,68154.0,68231.0,143.51995
2026-02-21 17:15:00+00:00,68230.0,68285.0,68166.0,68245.0,90.60383
2026-02-21 17:30:00+00:00,68245.0,68426.0,68234.0,68388.0,162.3416
2026-02-21 17:45:00+00:00,68388.0,68428.0,68346.0,68399.0,197.81227
2026-02-21 18:00:00+00:00,68400.0,68404.0,68333.0,68375.0,111.79349
2026-02-21 18:15:00+00:00,68375.0,68508.0,68375.0,68452.0,646.1407
2026-02-21 18:30:00+00:00,68452.0,68540.0,68452.0,68506.0,43.00655
2026-02-21 18:45:00+00:00,68507.0,68610.0,68462.0,68544.0,114.23531
